product_id,warehouse_stock,reorder_threshold
P0001,101,25
P0002,130,15
P0003,204,25
P0004,214,30
P0005,69,15
P0006,35,15
P0007,161,15
P0008,14,20
P0009,94,30
P0010,47,15
P0011,203,25
P0012,268,25
P0013,145,15
P0014,26,15
P0015,153,30
P0016,8,25
P0017,264,15
P0018,71,20
P0019,87,30
P0020,190,20
P0021,36,20
P0022,43,25
P0023,119,25
P0024,259,25
P0025,279,30
P0026,142,30
P0027,293,30
P0028,80,30
P0029,122,15
P0030,45,20
P0031,294,15
P0032,160,15
P0033,57,20
P0034,180,30
P0035,52,25
P0036,62,20
P0037,121,20
P0038,258,20
P0039,164,25
P0040,39,25
P0041,15,30
P0042,294,20
P0043,266,25
P0044,67,15
P0045,198,15
P0046,64,20
P0047,11,25
P0048,208,25
P0049,196,25
P0050,5,20
P0051,294,15
P0052,124,15
P0053,270,30
P0054,20,20
P0055,29,30
P0056,158,25
P0057,242,15
P0058,44,25
P0059,64,15
P0060,127,25
P0061,110,20
P0062,55,30
P0063,147,20
P0064,292,20
P0065,75,30
P0066,37,30
P0067,132,20
P0068,112,15
P0069,247,15
P0070,10,25
P0071,280,20
P0072,199,25
P0073,172,15
P0074,230,30
P0075,262,15
P0076,121,25
P0077,111,20
P0078,164,20
P0079,151,25
P0080,75,15
P0081,163,30
P0082,151,20
P0083,37,20
P0084,219,15
P0085,191,15
P0086,63,15
P0087,295,20
P0088,73,25
P0089,283,15
P0090,142,15
P0091,15,20
P0092,119,30
P0093,102,20
P0094,111,20
P0095,37,25
P0096,102,15
P0097,132,25
P0098,299,30
P0099,48,15
P0100,258,30
P0101,59,25
P0102,287,25
P0103,19,25
P0104,181,15
P0105,33,30
P0106,114,20
P0107,180,15
P0108,277,15
P0109,275,25
P0110,57,25
P0111,206,15
P0112,81,30
P0113,215,15
P0114,168,30
P0115,272,30
P0116,275,30
P0117,21,15
P0118,240,15
P0119,220,20
P0120,137,15
P0121,241,25
P0122,192,25
P0123,30,15
P0124,152,20
P0125,86,30
P0126,158,20
P0127,244,20
P0128,141,25
P0129,272,30
P0130,17,20
P0131,16,30
P0132,15,25
P0133,185,15
P0134,248,25
P0135,226,20
P0136,20,30
P0137,199,20
P0138,37,25
P0139,120,25
P0140,256,25
P0141,106,15
P0142,220,15
P0143,48,30
P0144,151,20
P0145,110,20
P0146,181,25
P0147,294,25
P0148,89,15
P0149,53,25
P0150,286,25
P0151,6,15
P0152,16,30
P0153,54,25
P0154,244,30
P0155,210,30
P0156,159,15
P0157,273,15
P0158,252,20
P0159,242,15
P0160,6,30
P0161,127,15
P0162,272,15
P0163,17,30
P0164,233,15
P0165,92,20
P0166,50,30
P0167,35,30
P0168,214,15
P0169,6,30
P0170,102,20
P0171,101,25
P0172,171,25
P0173,187,15
P0174,145,20
P0175,143,30
P0176,283,15
P0177,94,25
P0178,194,25
P0179,37,30
P0180,75,25
P0181,85,15
P0182,226,20
P0183,113,25
P0184,98,25
P0185,15,15
P0186,134,30
P0187,267,30
P0188,255,20
P0189,5,25
P0190,206,25
P0191,145,15
P0192,193,30
P0193,259,20
P0194,97,15
P0195,168,15
P0196,136,30
P0197,209,30
P0198,239,15
P0199,127,20
P0200,190,30
P0201,227,30
P0202,90,20
P0203,195,30
P0204,43,30
P0205,290,25
P0206,162,20
P0207,266,20
P0208,218,25
P0209,212,25
P0210,272,20
P0211,212,20
P0212,274,20
P0213,10,30
P0214,179,15
P0215,58,15
P0216,144,20
P0217,141,15
P0218,185,15
P0219,43,30
P0220,101,25
P0221,244,15
P0222,260,25
P0223,263,20
P0224,61,15
P0225,227,25
P0226,263,15
P0227,103,25
P0228,120,20
P0229,220,30
P0230,9,30
P0231,194,20
P0232,254,25
P0233,44,25
P0234,287,30
P0235,31,20
P0236,300,25
P0237,48,30
P0238,241,25
P0239,89,30
P0240,75,25
P0241,73,15
P0242,152,30
P0243,286,30
P0244,117,25
P0245,128,15
P0246,79,20
P0247,129,15
P0248,122,15
P0249,93,25
P0250,52,25
P0251,241,30
P0252,21,25
P0253,108,20
P0254,154,15
P0255,269,20
P0256,190,15
P0257,162,30
P0258,293,30
P0259,74,25
P0260,216,20
P0261,299,20
P0262,297,30
P0263,227,25
P0264,270,20
P0265,135,15
P0266,240,20
P0267,48,25
P0268,239,20
P0269,97,25
P0270,249,25
P0271,202,25
P0272,285,15
P0273,67,15
P0274,78,30
P0275,151,25
P0276,88,30
P0277,111,30
P0278,115,20
P0279,201,20
P0280,213,25
P0281,185,30
P0282,39,30
P0283,154,15
P0284,77,25
P0285,179,25
P0286,215,25
P0287,299,15
P0288,261,30
P0289,265,20
P0290,163,30
P0291,79,25
P0292,62,30
P0293,177,30
P0294,145,20
P0295,61,25
P0296,95,25
P0297,234,15
P0298,292,30
P0299,125,20
P0300,24,15
P0301,224,25
P0302,197,20
P0303,11,15
P0304,136,15
P0305,216,30
P0306,273,30
P0307,135,15
P0308,145,20
P0309,176,25
P0310,215,25
P0311,295,15
P0312,199,20
P0313,14,30
P0314,170,15
P0315,100,15
P0316,126,20
P0317,248,30
P0318,185,15
P0319,242,15
P0320,141,25
P0321,210,30
P0322,61,25
P0323,37,25
P0324,170,25
P0325,237,20
P0326,230,15
P0327,169,30
P0328,195,20
P0329,80,25
P0330,236,15
P0331,154,20
P0332,103,20
P0333,280,25
P0334,96,20
P0335,206,30
P0336,150,20
P0337,112,25
P0338,195,25
P0339,83,20
P0340,142,30
P0341,20,25
P0342,132,25
P0343,261,30
P0344,146,25
P0345,110,15
P0346,106,30
P0347,291,25
P0348,59,25
P0349,299,20
P0350,35,30
P0351,117,30
P0352,120,15
P0353,281,20
P0354,35,20
P0355,7,25
P0356,211,25
P0357,104,15
P0358,72,15
P0359,27,20
P0360,276,20
P0361,213,15
P0362,12,30
P0363,140,25
P0364,249,25
P0365,175,20
P0366,101,15
P0367,13,25
P0368,76,15
P0369,49,30
P0370,80,15
P0371,196,15
P0372,192,30
P0373,204,15
P0374,49,20
P0375,192,15
P0376,43,25
P0377,82,25
P0378,174,20
P0379,10,30
P0380,63,20
P0381,287,30
P0382,20,30
P0383,234,20
P0384,90,30
P0385,33,25
P0386,115,15
P0387,285,20
P0388,165,30
P0389,269,30
P0390,231,15
P0391,225,30
P0392,221,25
P0393,198,30
P0394,250,30
P0395,221,15
P0396,68,15
P0397,235,20
P0398,31,15
P0399,48,15
P0400,253,15
P0401,22,15
P0402,168,25
P0403,15,15
P0404,106,30
P0405,20,20
P0406,129,25
P0407,90,20
P0408,208,15
P0409,284,15
P0410,38,15
P0411,172,30
P0412,239,30
P0413,214,30
P0414,79,15
P0415,204,25
P0416,18,25
P0417,66,30
P0418,79,30
P0419,256,20
P0420,109,25
P0421,127,20
P0422,69,25
P0423,10,20
P0424,226,25
P0425,86,15
P0426,8,15
P0427,199,20
P0428,30,30
P0429,295,25
P0430,236,15
P0431,153,30
P0432,279,25
P0433,112,20
P0434,239,25
P0435,291,20
P0436,110,25
P0437,139,30
P0438,174,25
P0439,221,15
P0440,130,30
P0441,26,25
P0442,19,15
P0443,145,15
P0444,168,30
P0445,256,25
P0446,245,25
P0447,194,15
P0448,39,30
P0449,192,20
P0450,162,25
P0451,36,30
P0452,247,15
P0453,39,15
P0454,104,25
P0455,61,30
P0456,68,25
P0457,34,15
P0458,14,25
P0459,247,15
P0460,22,20
P0461,129,25
P0462,20,20
P0463,25,25
P0464,287,25
P0465,139,30
P0466,61,20
P0467,162,15
P0468,176,20
P0469,66,30
P0470,79,20
P0471,11,15
P0472,249,25
P0473,245,25
P0474,260,25
P0475,152,15
P0476,162,25
P0477,92,20
P0478,124,30
P0479,60,20
P0480,160,15
P0481,125,25
P0482,33,15
P0483,284,15
P0484,211,30
P0485,263,25
P0486,78,20
P0487,86,25
P0488,45,30
P0489,272,30
P0490,215,30
P0491,50,20
P0492,227,30
P0493,192,30
P0494,101,25
P0495,225,20
P0496,265,30
P0497,204,15
P0498,299,30
P0499,78,30
P0500,288,25
P0501,78,15
P0502,96,30
P0503,200,15
P0504,210,15
P0505,290,20
P0506,35,20
P0507,121,30
P0508,292,15
P0509,128,15
P0510,81,30
P0511,176,20
P0512,27,20
P0513,122,30
P0514,183,25
P0515,15,20
P0516,143,20
P0517,92,20
P0518,8,30
P0519,288,30
P0520,163,25
P0521,30,15
P0522,72,20
P0523,205,20
P0524,281,30
P0525,121,25
P0526,116,20
P0527,240,20
P0528,67,30
P0529,273,15
P0530,86,20
P0531,214,15
P0532,143,25
P0533,23,30
P0534,62,30
P0535,300,15
P0536,66,20
P0537,179,25
P0538,246,30
P0539,142,30
P0540,42,30
P0541,266,25
P0542,288,25
P0543,119,15
P0544,186,25
P0545,33,30
P0546,15,20
P0547,114,30
P0548,10,30
P0549,174,30
P0550,101,25
P0551,64,20
P0552,66,30
P0553,277,30
P0554,113,20
P0555,23,30
P0556,297,30
P0557,271,25
P0558,62,15
P0559,18,20
P0560,176,15
P0561,75,30
P0562,191,30
P0563,128,25
P0564,92,25
P0565,224,25
P0566,188,20
P0567,85,20
P0568,224,25
P0569,140,20
P0570,83,20
P0571,70,30
P0572,117,15
P0573,142,15
P0574,122,15
P0575,69,25
P0576,191,30
P0577,167,25
P0578,196,20
P0579,131,25
P0580,29,30
P0581,257,30
P0582,214,20
P0583,167,20
P0584,196,15
P0585,148,25
P0586,154,15
P0587,67,25
P0588,35,20
P0589,187,30
P0590,298,30
P0591,70,30
P0592,174,20
P0593,227,15
P0594,203,30
P0595,61,25
P0596,53,25
P0597,270,25
P0598,68,25
P0599,271,15
P0600,156,30
P0601,237,15
P0602,291,15
P0603,289,25
P0604,202,30
P0605,259,25
P0606,174,30
P0607,189,30
P0608,255,15
P0609,181,30
P0610,151,25
P0611,46,25
P0612,34,15
P0613,41,20
P0614,69,20
P0615,280,15
P0616,227,25
P0617,72,20
P0618,58,30
P0619,272,30
P0620,190,30
P0621,154,30
P0622,23,25
P0623,200,30
P0624,172,20
P0625,253,30
P0626,154,30
P0627,8,20
P0628,253,20
P0629,170,20
P0630,229,25
P0631,293,20
P0632,285,15
P0633,184,15
P0634,24,30
P0635,286,15
P0636,28,25
P0637,149,25
P0638,85,30
P0639,16,30
P0640,285,30
P0641,268,20
P0642,159,25
P0643,210,25
P0644,288,25
P0645,232,25
P0646,6,15
P0647,255,30
P0648,98,15
P0649,149,30
P0650,92,15
P0651,41,20
P0652,200,25
P0653,104,30
P0654,77,15
P0655,180,30
P0656,107,15
P0657,148,25
P0658,199,20
P0659,265,30
P0660,175,20
P0661,120,20
P0662,180,30
P0663,37,30
P0664,293,20
P0665,234,25
P0666,72,20
P0667,272,15
P0668,229,30
P0669,183,25
P0670,283,30
P0671,140,30
P0672,158,30
P0673,75,30
P0674,162,25
P0675,188,25
P0676,12,30
P0677,37,20
P0678,103,20
P0679,124,15
P0680,45,15
P0681,162,30
P0682,146,20
P0683,218,25
P0684,113,30
P0685,195,15
P0686,82,20
P0687,171,15
P0688,85,15
P0689,11,15
P0690,145,15
P0691,190,15
P0692,163,20
P0693,48,25
P0694,241,30
P0695,56,20
P0696,287,25
P0697,224,25
P0698,180,20
P0699,115,15
P0700,101,25
P0701,197,25
P0702,23,25
P0703,94,20
P0704,12,25
P0705,143,20
P0706,229,30
P0707,291,30
P0708,150,30
P0709,17,30
P0710,64,20
P0711,298,20
P0712,229,20
P0713,249,15
P0714,177,30
P0715,256,20
P0716,128,20
P0717,12,30
P0718,16,25
P0719,59,30
P0720,262,30
P0721,198,25
P0722,99,15
P0723,169,15
P0724,27,20
P0725,184,20
P0726,217,15
P0727,248,30
P0728,76,15
P0729,125,20
P0730,6,20
P0731,98,25
P0732,112,20
P0733,123,20
P0734,158,25
P0735,280,15
P0736,70,25
P0737,125,25
P0738,67,20
P0739,155,25
P0740,281,20
P0741,233,30
P0742,269,30
P0743,16,15
P0744,146,30
P0745,198,15
P0746,299,25
P0747,60,15
P0748,258,30
P0749,165,30
P0750,210,20
P0751,180,20
P0752,176,15
P0753,161,15
P0754,168,30
P0755,105,15
P0756,181,15
P0757,201,15
P0758,269,25
P0759,246,30
P0760,99,25
P0761,20,15
P0762,148,25
P0763,48,30
P0764,259,25
P0765,74,25
P0766,42,25
P0767,55,25
P0768,171,15
P0769,162,25
P0770,215,15
P0771,124,15
P0772,62,15
P0773,129,20
P0774,53,30
P0775,90,25
P0776,138,25
P0777,136,15
P0778,167,30
P0779,194,25
P0780,131,20
P0781,41,15
P0782,294,15
P0783,71,25
P0784,251,25
P0785,179,15
P0786,18,30
P0787,205,30
P0788,83,15
P0789,194,20
P0790,93,20
P0791,242,15
P0792,225,20
P0793,15,20
P0794,292,25
P0795,78,25
P0796,117,20
P0797,87,15
P0798,64,30
P0799,252,30
P0800,277,20
P0801,121,25
P0802,236,25
P0803,122,20
P0804,82,15
P0805,240,20
P0806,109,30
P0807,285,30
P0808,62,15
P0809,28,15
P0810,217,30
P0811,295,25
P0812,107,20
P0813,165,25
P0814,96,25
P0815,254,25
P0816,192,30
P0817,144,30
P0818,188,25
P0819,258,25
P0820,264,15
P0821,231,25
P0822,183,30
P0823,174,30
P0824,124,15
P0825,29,25
P0826,236,30
P0827,151,15
P0828,132,30
P0829,139,20
P0830,36,30
P0831,25,25
P0832,237,15
P0833,225,20
P0834,260,25
P0835,202,15
P0836,228,25
P0837,119,15
P0838,172,30
P0839,253,20
P0840,274,15
P0841,155,25
P0842,55,30
P0843,37,20
P0844,133,15
P0845,298,30
P0846,189,25
P0847,142,15
P0848,82,30
P0849,299,25
P0850,80,30
P0851,91,20
P0852,254,15
